sid,label,tid,uid
E605,0,621824407024103428,6212832
E605,0,621811575054143488,545851496
E605,0,621928238797975552,20572543
E605,0,621908127936417792,315731502
E605,0,621809439830466560,477856294
E605,0,621811583031717888,547836494
E605,0,621814645335195648,3052057706
E605,0,621818781090754560,1622164526
E605,0,622003341258788864,166795367
E605,0,621868839396114432,282747242
E605,0,621813326629224448,473556033
E605,0,621811576559960064,363616669
E605,0,621813141849153536,46584707
E605,0,621869358051139584,22707692
E605,0,621837158031183872,2439106435
E605,0,621850188865351680,2600520674
E605,0,621997631699558400,95698131
E605,0,621820777227288576,135841305
E605,0,621811569668677632,125699508
E605,0,621808414784647168,8936082
E605,0,621811589482610688,2156364362
E605,0,621811581517598720,1645861206
E605,0,621814491433578496,2770016663
E605,0,621811600069033984,2507917171
E605,0,621822808276885504,210352902
E605,0,621811606574362624,2239046558
E605,0,622007359045414912,2838358122
E605,0,621811603453796352,192267333
E605,0,621818934606442496,2980647579
pheme_106,0,525080582544719872,157155075
pheme_106,0,525077509252337664,65520623
pheme_106,0,525062890131173376,248895371
pheme_106,0,525063521000648705,1278708559
pheme_106,0,525067574913302529,1278708559
pheme_106,0,525067279298347008,1278708559
pheme_106,0,525062267608387584,23706022
pheme_106,0,525074505111457792,118915743
pheme_106,0,525077219748892673,65520623
pheme_106,0,525073794289770497,1408947008
pheme_106,0,525071638464049152,19038934
pheme_106,0,525066428336963585,1278708559
pheme_106,0,525065353081409536,45751480
pheme_106,0,525072230745534465,1221351
pheme_106,0,525072728983109633,1645266590
pheme_106,0,525067621222203392,2736111380
pheme_106,0,525064982052876289,2736111380
pheme_106,0,525067989947674624,2736111380
pheme_106,0,525066903509684224,2736111380
pheme_106,0,525068923461308416,1278708559
pheme_106,0,525063746364772354,1278708559
pheme_106,0,525065629548568576,2600958984
pheme_106,0,525062013551001600,19038934
pheme_106,0,525067835018850305,1278708559
pheme_106,0,525069197299449857,1278708559
pheme_155,0,524932001720459264,18168840
pheme_155,0,524931110279852032,8736882
pheme_155,0,524933298314039296,999907196
pheme_184,0,553524086417424384,972651
pheme_184,0,553525273623560192,116926997
pheme_184,0,553524088929779712,2714207155
E759,0,608679701528342528,313430146
E759,0,609369707855024128,1023408246
